u,u_star,T,replications,k,M,long_rmse,lag1_rmse,long_q90,lag1_q90,long_delta_sd,lag1_delta_sd,long_linearized_rmse,lag1_linearized_rmse,long_rmse_over_delta,lag1_rmse_over_delta,long_r_sd_over_exact,lag1_r_sd_over_exact,long_r_bias_z,lag1_r_bias_z,long_projection_rate,lag1_projection_rate
0.04,0.04,65537,2500,25,2621,3.8046396314845654,2.7962436641493955,6.170166301109308,4.4121413101669,3.619395234464161,2.687314695224686,3.6674562865780933,2.679865612830791,1.0511810357864466,1.0405345042462926,1.0134772837618866,0.9973525943828142,-0.14559586388737494,-0.6113215032616915,0.0008,0.0
0.03,0.03,65537,2500,34,1927,6.054527685365348,5.328065388753531,9.769982757115809,8.108145990837844,5.74677468205974,4.795748207157479,5.744175925721496,4.849125058039566,1.053552300260936,1.110997733534381,0.9986643567229797,1.0110282166270237,2.3260571488532045,-1.239724160861604,0.0024,0.0
0.0225,0.0225,65537,2500,45,1456,9.513214200484452,10.696460926374254,15.359087050595686,15.26711078855565,8.740806813992425,8.55055011292517,8.804638366446836,8.647862448109608,1.088367973681279,1.2509675734436412,1.0074910912814243,1.0115195283248555,-0.25719714441739777,0.5672093825256123,0.01,0.0
0.0169,0.0169,65537,2500,60,1092,14.788923736890334,22.7693847139712,23.55124151386631,28.50771167724355,13.454952686029136,15.189196834391167,13.522469732770222,14.938513776128175,1.0991434962269557,1.4990512640152953,1.0052162453103983,0.9833931466331688,-0.11914733476840077,1.2135220417960713,0.0204,0.0016
0.0127,0.0127,65537,2500,79,829,22.37735710462919,48.16069504163286,35.893439512665495,64.14680575041619,20.321506503918588,26.941212181195546,20.29812079757261,26.827135140547735,1.101166249673181,1.7876216822659565,0.9990257622986864,0.9959633286028347,0.3409525156643907,-0.08894475551445613,0.0276,0.0128
0.0095,0.0095,65537,2500,106,618,35.96669437871453,96.77555724458757,63.322629720399895,155.46245170381215,31.581446371332614,48.208733341772266,32.171605427572715,48.66893578402843,1.1388551985814852,2.0074279188898076,1.0188815258780972,1.0096962157192912,-0.21602435071996257,-0.5112512478379013,0.0584,0.0556
