c_Tu_over_ell,T,Tu,ell_lower,d,branch,k,M,threshold_half_separation,failure_u0,failure_u1,max_failure,complete_KL,complete_KL_over_ell,BH_probability,empirical_radius_90,radius90_over_a2_over_u,radius90_over_min_natural_scale,diameter,natural_regular_scale,replications_per_alternative
0.6213349345596119,101,1.0,1.6094379124341003,0.005,saturated,100,1,16.666666666666668,0.5128,0.4567,0.5128,0.0958017855899526,0.05952499618022716,0.22716102614379485,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,875.2135047204923,10000
1.2426698691192237,201,2.0,1.6094379124341003,0.005,saturated,100,2,16.666666666666668,0.5208,0.4396,0.5208,0.1916035711799052,0.11904999236045433,0.2064085271948074,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,618.8694041739045,10000
1.8640048036788355,301,3.0,1.6094379124341003,0.005,saturated,100,3,16.666666666666668,0.5046,0.4724,0.5046,0.2874053567698578,0.1785749885406815,0.18755189136960734,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,505.30475254877194,10000
2.4853397382384474,401,4.0,1.6094379124341003,0.005,saturated,100,4,16.666666666666668,0.505,0.4655,0.505,0.3832071423598104,0.23809998472090865,0.17041792039491818,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,437.60675236024616,10000
3.1066746727980594,501,5.0,1.6094379124341003,0.004485306444985254,regular,100,5,15.482262877973309,0.4916,0.4679,0.4916,0.3950004457035298,0.2454275760822202,0.16841993474684078,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,391.4073782761708,10000
3.728009607357671,601,6.0,1.6094379124341003,0.004094505862069547,regular,100,6,14.525184146712384,0.4967,0.4744,0.4967,0.40259802519436233,0.2501482176379681,0.1671451994878031,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,357.3044170930271,10000
4.970679476476895,801,8.0,1.6094379124341003,0.00354594609249653,regular,100,8,13.088587789599746,0.4984,0.4658,0.4984,0.41383150844763184,0.2571279732200148,0.16527808343138659,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,309.43470208695226,10000
7.456019214715342,1201,12.0,1.6094379124341003,0.002895252860677447,regular,100,12,11.226041443150677,0.4777,0.4736,0.4777,0.4281037917024919,0.2659958414021895,0.16293594142326373,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,252.65237627438597,10000
12.426698691192238,2001,20.0,1.6094379124341003,0.002242653222492627,regular,100,20,9.159179720831863,0.4885,0.9566,0.9566,0.443575883906336,0.2756091927991653,0.16043438358390047,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,195.7036891380854,10000
24.853397382384475,4001,40.0,1.6094379124341003,0.0015857953014743996,regular,100,40,6.843704986193707,0.4795,0.9503,0.9503,0.4604784629268317,0.2861113556287536,0.15774541798339412,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,138.38340569276428,10000
49.70679476476895,8001,80.0,1.6094379124341003,0.0011213266112463135,regular,100,80,5.041334772563846,0.474,0.9512,0.9512,0.47333796299322584,0.29410141226097597,0.15572987796406676,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,97.8518445690427,10000
99.4135895295379,16001,160.0,1.6094379124341003,0.0007928976507371998,regular,100,160,3.673238070051751,0.4827,0.9507,0.9507,0.4829334425477064,0.30006341892202726,0.1542427215043331,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,69.19170284638214,10000
198.8271790590758,32001,320.0,1.6094379124341003,0.0005606633056231568,regular,100,320,2.6544890666319443,0.4781,0.9464,0.9464,0.48998916521666647,0.3044473859048163,0.15315825797365512,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,48.92592228452135,10000
397.6543581181516,64001,640.0,1.6094379124341003,0.0003964488253685999,regular,100,640,1.9066550128213804,0.4718,0.9492,0.9492,0.49512120077380845,0.3076360988818707,0.15237425782691444,33.333333333333385,0.33333333333333387,1.0000000000000016,33.333333333333336,34.59585142319107,10000
795.3087162363032,128001,1280.0,1.6094379124341003,0.0002803316528115784,regular,100,1280,1.3634368144869633,0.4775,0.9459,0.9459,0.4988243877562318,0.3099370183232567,0.1518110309697115,28.148280874897136,0.28148280874897136,1.1506489631899033,33.333333333333336,24.462961142260674,10000
1590.6174324726064,256001,2560.0,1.6094379124341003,0.00019822441268429995,regular,100,2560,0.9718574756883821,0.4711,0.9486,0.9486,0.5014811366024219,0.31158774919374554,0.1514082424791898,19.088951899458245,0.19088951899458245,1.1035399398589223,33.333333333333336,17.297925711595536,10000
3181.234864945213,512001,5120.0,1.6094379124341003,0.0001401658264057892,regular,100,5120,0.6911416874504476,0.4677,0.9442,0.9442,0.5033792277820415,0.31276709955262266,0.15112112840016884,13.391810177456325,0.13391810177456326,1.0948641989478105,33.333333333333336,12.231480571130337,10000
